"","clutch_ID","mother_ID","group_ID","season","clutch_order","prev_female_number","prev_male_number","body_index"
"1","AY010","4H-39163","AYEAYE","2009",2,1,2,45.7947302491378
"2","AY021","4H-39163","AYEAYE","2013",2,1,1,38.8616635181926
"3","BO013","4H-39172","BONGO","2009",4,2,3,44.4226270694167
"4","BO023","4H-39172","BONGO","2013",3,0,0,45.928297842683
"5","BO026","4H-39172","BONGO","2014",2,1,2,45.5972638428869
"6","CA003","4H-48717","CANARY","2013",3,0,1,44.1897544855114
"7","CH017","4H-48935","CHIMP","2013",4,0,0,42.4713504183758
"8","DI005","4H-39162","DIKDIK","2008",2,2,1,50.506920059312
"9","EL012","4H-48927","ELAND","2009",3,3,3,45.5399875600029
"10","FO015","4H-39196","FOSA","2009",5,3,4,43.8033747342206
"11","FO018","4H-39196","FOSA","2010",3,4,1,37.9917427793514
"12","FO022","4H-39196","FOSA","2012",2,1,3,44.4950069668662
"13","FO025","4H-54927","FOSA","2013",3,0,2,41.1924842287505
"14","FO026","4H-54927","FOSA","2013",4,0,0,45.1588718685307
"15","GE031","4H-48772","GELADA","2014",2,1,3,41.612102064697
"16","GE015","4H-48920","GELADA","2009",5,3,3,38.7915439996582
"17","HY010","4H-39168","HYRAX","2009",2,4,1,48.7053749212833
"18","HY021","4H-55183","HYRAX","2013",3,0,1,43.3614985855859
"19","IN008","4H-48926","INDRI","2009",3,0,3,43.6196441547416
"20","IN009","4H-48926","INDRI","2009",4,0,2,41.5124149685222
"21","JA010","4H-48721","JACKAL","2009",3,4,1,40.1952952215991
"22","JA012","4H-48721","JACKAL","2010",2,4,3,40.4263026654014
"23","JA020","4H-48721","JACKAL","2013",5,0,0,40.6203489181953
"24","JE006","4H-48730","JERBOA","2013",2,0,1,38.8445855887905
"25","KU011","4H-55168","KUDU","2013",3,0,1,39.5339946866761
"26","LE018","4H-55222","LEMUR","2013",4,0,0,40.9038166320516
"27","NY003","4H-48729","NYALA","2007",3,0,0,47.0419719311343
"28","NY015","4H-54972","NYALA","2013",2,0,0,42.9383133283953
"29","PO012","4H-48779","PORCUPINE","2013",3,0,1,44.5257527048159
"30","PO002","4H-48902","PORCUPINE","2009",2,0,0,43.3946406448623
"31","PU006","4H-48921","PUKU","2008",3,1,1,46.0619235213786
"32","RA010","4H-39170","RATEL","2009",3,1,2,46.771900616357
"33","RA013","4H-39170","RATEL","2010",3,3,0,47.6582174545209
"34","RA024","4H-54912","RATEL","2015",3,3,1,42.645424321687
"35","ST007","4H-54951","STORK","2011",3,2,1,39.9321554320515
"36","SU006","4H-48756","SUNI","2009",3,4,2,40.4035962180926
"37","SU015","4H-48989","SUNI","2013",3,0,0,44.513821611857
"38","TO004","4H-39195","TOPI","2007",4,0,0,44.102271585743
"39","TO022","4H-39195","TOPI","2014",2,3,2,45.0633380367641
"40","UB007","4H-39180","UBEND","2009",3,1,2,38.0077479369074
"41","UB017","4H-39180","UBEND","2013",3,2,0,39.6109183475163
"42","VA017","4H-48827","VANGA","2013",4,0,0,47.9099349462876
"43","XM006","4H-39158","XMEN","2009",2,1,4,50.2958109367675
"44","YE007","4H-48728","YETI","2013",3,0,0,44.0582560051858
"45","ZE013","4H-48722","ZEBRA","2013",3,0,1,36.8834545733404
