"","Season","Group","clutch_ID","clutch_size","laid_date","laid_date_error","mother_ID","egg_position","egg_weight_date","egg_weight","tarsus_med","wing_med","yd","egg_volume","Sept_day","female_helpers","male_helpers","cent_female_helpers","mean_female_helpers","cent_male_helpers","mean_male_helpers","temp_above_35","rainfall","age_error","cent_volume","mean_volume","time_since_prev_ba","fate_prev_ba","female_helper_prev_ba","male_helper_prev_ba","Clutch_order"
"1","2015-16","AARDVARK","AA006",2,"27/10/2015",0,"4H-48756",1,"27/10/2015",3.88,25.6,105,300,4077.72208584,56,0,0,-0.6,0.6,0,0,1,17,3696,208.979280504,3868.742805336,37,"INCUBATION",0,1,2
"2","2015-16","AARDVARK","AA008",2,"06/05/2016",0,"4H-48756",1,"06/05/2016",3.88,25.6,105,127,4027.96219392,248,1,0,0.4,0.6,0,0,0,0,3696,159.219388584,3868.742805336,94,"REARING",0,0,NA
"3","2015-16","AARDVARK","AA006",2,"28/10/2015",0,"4H-48756",2,"28/10/2015",3.14,25.6,105,301,3428.4524778,57,0,0,-0.6,0.6,0,0,1,17,3696,-440.290327535999,3868.742805336,37,"INCUBATION",0,1,2
"4","2015-16","AARDVARK","AA008",2,"07/05/2016",1,"4H-48756",2,"08/05/2016",3.68,25.6,105,128,3873.3552,249,1,0,0.4,0.6,0,0,0,0,3696,4.61239466400048,3868.742805336,94,"REARING",0,0,NA
"5","2013-14","AARDVARK","AA002",1,"23/12/2013",2,"4H-48756",1,"24/12/2013",3.93,25.6,105,357,3936.22206912,113,1,0,0.4,0.6,0,0,0,36.5,3696,67.4792637839996,3868.742805336,362,"FIRST_CLUTH",0,0,NA
"6","2009-10","AYEAYE","AY009",1,"08/10/2009",0,"4H-39163",1,"08/10/2009",2.7,25.2,102,281,2939.6328192,37,1,2,-0.666666666666667,1.66666666666667,0.571428571428571,1.42857142857143,0,9,3235,-208.396375474286,3148.02919467429,226,"FIRST_CLUTH",1,1,NA
"7","2008-9","AYEAYE","AY007",1,"09/12/2008",0,"4H-39163",1,"09/12/2008",2.98,25.2,102,344,3216.72999456,100,0,1,-1.66666666666667,1.66666666666667,-0.428571428571429,1.42857142857143,7,12,3235,68.7007998857148,3148.02919467429,48,"INCUBATION",1,1,3
"8","2008-9","AYEAYE","AY008",2,"24/02/2009",0,"4H-39163",1,"24/02/2009",3.07,25.2,102,55,3202.496676,176,1,1,-0.666666666666667,1.66666666666667,-0.428571428571429,1.42857142857143,0,73,3235,54.4674813257143,3148.02919467429,77,"SUCCESS",0,1,4
"9","2009-10","AYEAYE","AY010",2,"09/01/2010",0,"4H-39163",1,"09/01/2010",2.85,25.2,102,9,3031.64902656,130,2,2,0.333333333333333,1.66666666666667,0.571428571428571,1.42857142857143,2,23,3235,-116.380168114286,3148.02919467429,93,"SUCCESS",1,2,2
"10","2009-10","AYEAYE","AY011",2,"13/03/2010",0,"4H-39163",1,"13/03/2010",3.13,25.2,102,72,3247.15783392,193,2,3,0.333333333333333,1.66666666666667,1.57142857142857,1.42857142857143,0,0,3235,99.1286392457141,3148.02919467429,63,"SUCCESS",2,2,3
"11","2011-12","AYEAYE","AY017",2,"25/02/2012",0,"4H-39163",1,"25/02/2012",2.93,25.2,102,56,3123.370125,177,2,1,0.333333333333333,1.66666666666667,-0.428571428571429,1.42857142857143,0,33,3235,-24.659069674286,3148.02919467429,59,NA,3,1,5
"12","2013-14","AYEAYE","AY022",2,"26/02/2014",0,"4H-39163",1,"26/02/2014",3.1,25.2,102,57,3190.92999264,178,3,2,1.33333333333333,1.66666666666667,0.571428571428571,1.42857142857143,0,52.5,3235,42.900797965714,3148.02919467429,62,"SUCCESS",1,2,3
"13","2014-15","AYEAYE","AY025",2,"18/11/2014",0,"4H-39163",1,"18/11/2014",3,25.2,102,322,3228.00097536,78,2,2,0.333333333333333,1.66666666666667,0.571428571428571,1.42857142857143,0,29.5,3235,79.9717806857143,3148.02919467429,80,"REARING",NA,NA,2
"14","2012-13","AYEAYE","AY019",3,"14/12/2012",0,"4H-39163",1,"14/12/2012",2.99,25.2,102,349,3238.79340456,105,0,0,-1.66666666666667,1.66666666666667,-1.42857142857143,1.42857142857143,0,50,3235,90.7642098857141,3148.02919467429,63,"REARING",1,0,2
"15","2011-12","AYEAYE","AY014",3,"28/12/2011",0,"4H-39163",1,"29/12/2011",3.07,25.2,102,362,3308.17536,118,3,1,1.33333333333333,1.66666666666667,-0.428571428571429,1.42857142857143,2,61,3235,160.146165325714,3148.02919467429,372,NA,4,2,2
"16","2008-9","AYEAYE","AY008",2,"25/02/2009",0,"4H-39163",2,"25/02/2009",3.06,25.2,102,56,3256.82241264,177,1,1,-0.666666666666667,1.66666666666667,-0.428571428571429,1.42857142857143,0,73,3235,108.793217965715,3148.02919467429,77,"SUCCESS",0,1,4
"17","2009-10","AYEAYE","AY010",2,"10/01/2010",0,"4H-39163",2,"10/01/2010",2.71,25.2,102,10,2890.6065,131,2,2,0.333333333333333,1.66666666666667,0.571428571428571,1.42857142857143,2,30.5,3235,-257.422694674286,3148.02919467429,93,"SUCCESS",1,2,2
