"","clutch_size","clutch_ID","clutch_order","female_helpers","male_helpers","mother_ID","Group_ID","Season","cent_female_helpers","cent_male_helpers","mean_female_helpers","mean_male_helpers"
"1",2,"AA006",2,0,0,"4H-48756","AARDVARK",2015,0,0,1,1
"2",2,"AA003",2,0,0,"4H-48756","AARDVARK",2013,0,0,1,1
"3",2,"AA007",3,0,0,"4H-48756","AARDVARK",2015,0,0,1,1
"4",3,"AY004",3,1,0,"4H-39163","AYEAYE",2007,-0.307692307692307,-0.769230769230769,2.30769230769231,1.76923076923077
"5",1,"AY007",3,0,0,"4H-39163","AYEAYE",2008,-1.30769230769231,-0.769230769230769,2.30769230769231,1.76923076923077
"6",2,"AY008",4,0,0,"4H-39163","AYEAYE",2008,-1.30769230769231,-0.769230769230769,2.30769230769231,1.76923076923077
"7",2,"AY010",2,1,2,"4H-39163","AYEAYE",2009,-0.307692307692307,1.23076923076923,2.30769230769231,1.76923076923077
"8",2,"AY011",3,1,1,"4H-39163","AYEAYE",2009,-0.307692307692307,0.230769230769231,2.30769230769231,1.76923076923077
"9",2,"AY012",1,4,2,"4H-39163","AYEAYE",2010,2.69230769230769,1.23076923076923,2.30769230769231,1.76923076923077
"10",2,"AY023",4,1,0,"4H-39163","AYEAYE",2013,-0.307692307692307,-0.769230769230769,2.30769230769231,1.76923076923077
"11",3,"AY014",2,3,1,"4H-39163","AYEAYE",2011,1.69230769230769,0.230769230769231,2.30769230769231,1.76923076923077
"12",2,"AY017",5,2,1,"4H-39163","AYEAYE",2011,0.692307692307693,0.230769230769231,2.30769230769231,1.76923076923077
"13",3,"AY019",2,0,0,"4H-39163","AYEAYE",2012,-1.30769230769231,-0.769230769230769,2.30769230769231,1.76923076923077
"14",3,"AY021",2,1,1,"4H-39163","AYEAYE",2013,-0.307692307692307,0.230769230769231,2.30769230769231,1.76923076923077
"15",2,"AY022",3,1,0,"4H-39163","AYEAYE",2013,-0.307692307692307,-0.769230769230769,2.30769230769231,1.76923076923077
"16",2,"AY025",2,2,2,"4H-39163","AYEAYE",2014,0.692307692307693,1.23076923076923,2.30769230769231,1.76923076923077
"17",2,"BO008",3,0,0,"4H-39172","BONGO",2008,-1,-1.09090909090909,2,2.09090909090909
"18",2,"BO009",4,0,1,"4H-39172","BONGO",2008,-1,-0.0909090909090908,2,2.09090909090909
"19",2,"BO012",3,2,3,"4H-39172","BONGO",2009,1,1.90909090909091,2,2.09090909090909
"20",2,"BO013",4,3,3,"4H-39172","BONGO",2009,2,1.90909090909091,2,2.09090909090909
"21",3,"BO017",4,2,1,"4H-39172","BONGO",2010,1,-0.0909090909090908,2,2.09090909090909
"22",2,"BO007",2,0,0,"4H-39172","BONGO",2008,-1,-1.09090909090909,2,2.09090909090909
"23",2,"BO015",2,2,1,"4H-39172","BONGO",2010,1,-0.0909090909090908,2,2.09090909090909
"24",3,"BO022",2,0,0,"4H-39172","BONGO",2013,-1,-1.09090909090909,2,2.09090909090909
"25",3,"BO023",3,0,0,"4H-39172","BONGO",2013,-1,-1.09090909090909,2,2.09090909090909
"26",2,"BO027",3,1,1,"4H-39172","BONGO",2014,0,-0.0909090909090908,2,2.09090909090909
"27",2,"BO029",2,1,2,"4H-39172","BONGO",2015,0,0.909090909090909,2,2.09090909090909
"28",3,"BO003",3,0,0,"4H-48913","BONGO",2007,0,0,1,1
"29",2,"BO002",2,0,0,"4H-48913","BONGO",2007,0,0,1,1
"30",2,"BO004",4,0,0,"4H-48913","BONGO",2007,0,0,1,1
"31",2,"BR001",1,1,2,"4H-68693","BRUBRU",2015,0,0,2,3
"32",3,"CA002",2,0,1,"4H-48717","CANARY",2013,0,0,1,2
"33",2,"CA003",3,0,1,"4H-48717","CANARY",2013,0,0,1,2
"34",2,"CH002",2,0,0,"4H-39192","CHIMP",2007,-0.5,-0.666666666666667,1.5,1.66666666666667
"35",2,"CH007",2,0,2,"4H-39192","CHIMP",2008,-0.5,1.33333333333333,1.5,1.66666666666667
"36",2,"CH008",2,1,1,"4H-39192","CHIMP",2009,0.5,0.333333333333333,1.5,1.66666666666667
"37",2,"CH009",4,1,1,"4H-39192","CHIMP",2009,0.5,0.333333333333333,1.5,1.66666666666667
"38",2,"CH011",2,1,0,"4H-39192","CHIMP",2010,0.5,-0.666666666666667,1.5,1.66666666666667
"39",2,"CH003",3,0,0,"4H-39192","CHIMP",2007,-0.5,-0.666666666666667,1.5,1.66666666666667
"40",2,"CH021",2,3,2,"4H-48935","CHIMP",2015,1.5,0.25,2.5,2.75
"41",2,"CH017",4,0,0,"4H-48935","CHIMP",2013,-1.5,-1.75,2.5,2.75
"42",3,"CH019",1,1,3,"4H-48935","CHIMP",2014,-0.5,1.25,2.5,2.75
"43",2,"CH022",3,2,2,"4H-48935","CHIMP",2015,0.5,0.25,2.5,2.75
"44",2,"DA003",1,0,1,"4H-48948","DASSIE",2012,0,0,1,2
"45",3,"DI002",2,0,0,"4H-39162","DIKDIK",2007,-1.5,-1.25,2.5,2.25
"46",3,"DI003",3,0,0,"4H-39162","DIKDIK",2007,-1.5,-1.25,2.5,2.25
"47",2,"DI005",2,2,1,"4H-39162","DIKDIK",2008,0.5,-0.25,2.5,2.25
"48",2,"DI006",3,2,1,"4H-39162","DIKDIK",2008,0.5,-0.25,2.5,2.25
"49",2,"DI010",3,3,3,"4H-39162","DIKDIK",2009,1.5,1.75,2.5,2.25
"50",2,"DI011",4,2,1,"4H-39162","DIKDIK",2009,0.5,-0.25,2.5,2.25
"51",2,"DI012",5,0,1,"4H-39162","DIKDIK",2009,-1.5,-0.25,2.5,2.25
"52",2,"DI009",2,3,3,"4H-39162","DIKDIK",2009,1.5,1.75,2.5,2.25
"53",2,"DI020",2,2,2,"4H-48858","DIKDIK",2014,0,0.5,3,2.5
"54",2,"DI021",3,2,2,"4H-48858","DIKDIK",2014,0,0.5,3,2.5
"55",2,"DI022",2,4,1,"4H-48858","DIKDIK",2015,2,-0.5,3,2.5
"56",3,"DI018",4,0,1,"4H-48858","DIKDIK",2013,-2,-0.5,3,2.5
"57",2,"DI013",1,1,2,"4H-48919","DIKDIK",2010,0,0,2,3
"58",1,"EL007",3,3,1,"4H-48927","ELAND",2008,1.3,-0.2,2.7,2.2
"59",3,"EL002",2,0,1,"4H-48927","ELAND",2007,-1.7,-0.2,2.7,2.2
"60",3,"EL003",3,0,1,"4H-48927","ELAND",2007,-1.7,-0.2,2.7,2.2
"61",2,"EL010",1,5,3,"4H-48927","ELAND",2009,3.3,1.8,2.7,2.2
"62",2,"EL012",3,2,2,"4H-48927","ELAND",2009,0.3,0.8,2.7,2.2
"63",2,"EL015",3,2,0,"4H-48927","ELAND",2010,0.3,-1.2,2.7,2.2
"64",2,"EL014",2,3,1,"4H-48927","ELAND",2010,1.3,-0.2,2.7,2.2
"65",2,"EL018",2,0,0,"4H-48927","ELAND",2013,-1.7,-1.2,2.7,2.2
"66",2,"EL003b",4,0,1,"4H-48927","ELAND",2007,-1.7,-0.2,2.7,2.2
"67",2,"EL016",1,2,2,"4H-48927","ELAND",2011,0.3,0.8,2.7,2.2
"68",2,"EL024",1,2,0,"4H-68622","ELAND",2015,0.5,0,2.5,1
"69",3,"EL025",2,1,0,"4H-68622","ELAND",2015,-0.5,0,2.5,1
"70",2,"FI001",1,0,0,"4H-68715","FINCH",2015,0,0,1,1
"71",3,"FO002",2,0,1,"4H-39187","FOSA",2007,0,0.333333333333333,1,1.66666666666667
"72",3,"FO003",3,0,1,"4H-39187","FOSA",2007,0,0.333333333333333,1,1.66666666666667
"73",3,"FO004",4,0,0,"4H-39187","FOSA",2007,0,-0.666666666666667,1,1.66666666666667
"74",2,"FO008",2,0,1,"4H-39196","FOSA",2008,-2,-0.857142857142857,3,2.85714285714286
"75",2,"FO009",3,0,1,"4H-39196","FOSA",2008,-2,-0.857142857142857,3,2.85714285714286
"76",2,"FO012",2,3,4,"4H-39196","FOSA",2009,1,2.14285714285714,3,2.85714285714286
"77",1,"FO016",6,3,1,"4H-39196","FOSA",2009,1,-0.857142857142857,3,2.85714285714286
"78",2,"FO017",2,4,1,"4H-39196","FOSA",2010,2,-0.857142857142857,3,2.85714285714286
"79",2,"FO013",3,3,4,"4H-39196","FOSA",2009,1,2.14285714285714,3,2.85714285714286
"80",2,"FO020",2,1,1,"4H-39196","FOSA",2011,-1,-0.857142857142857,3,2.85714285714286
"81",2,"FO029",2,4,4,"4H-54927","FOSA",2015,0,0,5,5
"82",2,"GE024",3,1,2,"4H-48772","GELADA",2012,0.5,-0.166666666666667,1.5,3.16666666666667
"83",2,"GE027",3,1,1,"4H-48772","GELADA",2013,0.5,-1.16666666666667,1.5,3.16666666666667
"84",3,"GE028",4,1,1,"4H-48772","GELADA",2013,0.5,-1.16666666666667,1.5,3.16666666666667
"85",2,"GE032",3,0,3,"4H-48772","GELADA",2014,-0.5,0.833333333333333,1.5,3.16666666666667
"86",2,"GE033",1,0,3,"4H-48772","GELADA",2015,-0.5,0.833333333333333,1.5,3.16666666666667
"87",2,"GE034",2,0,3,"4H-48772","GELADA",2015,-0.5,0.833333333333333,1.5,3.16666666666667
"88",2,"GE004",4,0,1,"4H-48920","GELADA",2007,-1.55555555555556,-1.11111111111111,2.55555555555556,3.11111111111111
"89",2,"GE003",3,0,2,"4H-48920","GELADA",2007,-1.55555555555556,-0.111111111111111,2.55555555555556,3.11111111111111
"90",2,"GE006",6,0,1,"4H-48920","GELADA",2007,-1.55555555555556,-1.11111111111111,2.55555555555556,3.11111111111111
"91",2,"GE009",3,2,1,"4H-48920","GELADA",2008,0.444444444444445,-1.11111111111111,2.55555555555556,3.11111111111111
"92",2,"GE017",2,5,5,"4H-48920","GELADA",2010,3.44444444444444,2.88888888888889,2.55555555555556,3.11111111111111
"93",2,"GE018",3,3,3,"4H-48920","GELADA",2010,1.44444444444444,0.888888888888889,2.55555555555556,3.11111111111111
"94",2,"GE013",3,3,3,"4H-48920","GELADA",2009,1.44444444444444,0.888888888888889,2.55555555555556,3.11111111111111
"95",2,"GE005",5,1,1,"4H-48920","GELADA",2007,-0.555555555555555,-1.11111111111111,2.55555555555556,3.11111111111111
"96",3,"GE002",2,0,2,"4H-48920","GELADA",2007,-1.55555555555556,-0.111111111111111,2.55555555555556,3.11111111111111
"97",3,"HY002",2,0,1,"4H-39168","HYRAX",2007,-1.45454545454545,-0.363636363636364,2.45454545454545,2.36363636363636
"98",2,"HY003",3,0,0,"4H-39168","HYRAX",2007,-1.45454545454545,-1.36363636363636,2.45454545454545,2.36363636363636
"99",1,"HY010",2,3,1,"4H-39168","HYRAX",2009,1.54545454545455,-0.363636363636364,2.45454545454545,2.36363636363636
"100",2,"HY004",4,0,0,"4H-39168","HYRAX",2007,-1.45454545454545,-1.36363636363636,2.45454545454545,2.36363636363636
"101",2,"HY006",2,2,1,"4H-39168","HYRAX",2008,0.545454545454545,-0.363636363636364,2.45454545454545,2.36363636363636
"102",1,"HY007",3,2,1,"4H-39168","HYRAX",2008,0.545454545454545,-0.363636363636364,2.45454545454545,2.36363636363636
"103",2,"HY011",3,3,3,"4H-39168","HYRAX",2009,1.54545454545455,1.63636363636364,2.45454545454545,2.36363636363636
"104",2,"HY015",3,2,2,"4H-39168","HYRAX",2010,0.545454545454545,0.636363636363636,2.45454545454545,2.36363636363636
"105",2,"HY016",4,1,2,"4H-39168","HYRAX",2010,-0.454545454545455,0.636363636363636,2.45454545454545,2.36363636363636
"106",2,"HY014",2,2,3,"4H-39168","HYRAX",2010,0.545454545454545,1.63636363636364,2.45454545454545,2.36363636363636
"107",2,"HY018",1,1,1,"4H-39168","HYRAX",2012,-0.454545454545455,-0.363636363636364,2.45454545454545,2.36363636363636
"108",2,"HY020",2,0,1,"4H-55183","HYRAX",2013,-0.75,-1,1.75,3
"109",3,"HY021",3,0,1,"4H-55183","HYRAX",2013,-0.75,-1,1.75,3
"110",2,"HY022",1,1,4,"4H-55183","HYRAX",2014,0.25,2,1.75,3
"111",2,"HY024",2,2,2,"4H-55183","HYRAX",2015,1.25,0,1.75,3
"112",3,"IN002",2,0,0,"4H-48922","INDRI",2007,0,0,1,1
"113",2,"IN014",2,3,3,"4H-48926","INDRI",2011,2.25,1,1.75,3
"114",2,"IN005",2,0,1,"4H-48926","INDRI",2008,-0.75,-1,1.75,3
"115",2,"IN008",3,0,2,"4H-48926","INDRI",2009,-0.75,0,1.75,3
"116",2,"IN009",4,0,2,"4H-48926","INDRI",2009,-0.75,0,1.75,3
"117",1,"IN018",1,0,2,"4H-54908","INDRI",2013,0,0,1,3
"118",1,"JA001",1,0,1,"4H-48705","JACKAL",2007,0,0,1,2
"119",2,"JA014",2,0,3,"4H-48721","JACKAL",2011,-1.33333333333333,1.5,2.33333333333333,2.5
"120",2,"JA003",3,0,1,"4H-48721","JACKAL",2007,-1.33333333333333,-0.5,2.33333333333333,2.5
"121",2,"JA010",3,4,1,"4H-48721","JACKAL",2009,2.66666666666667,-0.5,2.33333333333333,2.5
"122",2,"JA011",1,4,3,"4H-48721","JACKAL",2010,2.66666666666667,1.5,2.33333333333333,2.5
"123",3,"JA019",4,0,0,"4H-48721","JACKAL",2013,-1.33333333333333,-1.5,2.33333333333333,2.5
"124",3,"JA018",3,0,1,"4H-48721","JACKAL",2013,-1.33333333333333,-0.5,2.33333333333333,2.5
"125",1,"JE012",1,1,4,"4H-48730","JERBOA",2015,0.428571428571429,1.28571428571429,1.57142857142857,3.71428571428571
"126",2,"JE013",2,1,4,"4H-48730","JERBOA",2015,0.428571428571429,1.28571428571429,1.57142857142857,3.71428571428571
"127",2,"JE004",1,1,1,"4H-48730","JERBOA",2012,0.428571428571429,-1.71428571428571,1.57142857142857,3.71428571428571
"128",3,"JE006",2,0,1,"4H-48730","JERBOA",2013,-0.571428571428571,-1.71428571428571,1.57142857142857,3.71428571428571
"129",3,"JE007",3,0,1,"4H-48730","JERBOA",2013,-0.571428571428571,-1.71428571428571,1.57142857142857,3.71428571428571
"130",3,"JE011",2,0,4,"4H-48730","JERBOA",2014,-0.571428571428571,1.28571428571429,1.57142857142857,3.71428571428571
"131",2,"JE014",3,1,4,"4H-48730","JERBOA",2015,0.428571428571429,1.28571428571429,1.57142857142857,3.71428571428571
"132",2,"KU001",1,0,0,"4H-48976","KUDU",2008,-0.5,-0.25,1.5,1.25
"133",2,"KU003",2,0,0,"4H-48976","KUDU",2009,-0.5,-0.25,1.5,1.25
"134",2,"KU004",3,0,0,"4H-48976","KUDU",2009,-0.5,-0.25,1.5,1.25
"135",2,"KU005",1,2,1,"4H-48976","KUDU",2010,1.5,0.75,1.5,1.25
"136",2,"KU016",1,3,4,"4H-55168","KUDU",2015,0.5,0,3.5,5
"137",2,"KU017",2,2,4,"4H-55168","KUDU",2015,-0.5,0,3.5,5
"138",3,"LE003",3,0,0,"4H-39143","LEMUR",2007,-1.28571428571429,-0.142857142857143,2.28571428571429,1.14285714285714
"139",3,"LE009",2,3,0,"4H-39143","LEMUR",2009,1.71428571428571,-0.142857142857143,2.28571428571429,1.14285714285714
"140",2,"LE010",3,3,0,"4H-39143","LEMUR",2009,1.71428571428571,-0.142857142857143,2.28571428571429,1.14285714285714
"141",3,"LE011",1,1,0,"4H-39143","LEMUR",2010,-0.285714285714286,-0.142857142857143,2.28571428571429,1.14285714285714
"142",3,"LE012",2,1,0,"4H-39143","LEMUR",2010,-0.285714285714286,-0.142857142857143,2.28571428571429,1.14285714285714
"143",2,"LE013",1,1,1,"4H-39143","LEMUR",2011,-0.285714285714286,0.857142857142857,2.28571428571429,1.14285714285714
"144",3,"LE002",2,0,0,"4H-39143","LEMUR",2007,-1.28571428571429,-0.142857142857143,2.28571428571429,1.14285714285714
"145",3,"LE016",2,0,0,"4H-55222","LEMUR",2013,0,0,1,1
