"","Season","Group","clutch_ID","clutch_size","laid_date","laid_date_error","mother_ID","egg_position","egg_weight_date","egg_weight","tarsus_med","wing_med","yd","egg_volume","Sept_day","female_helpers","male_helpers","cent_female_helpers","mean_female_helpers","cent_male_helpers","mean_male_helpers","temp_above_35","rainfall","age_error","cent_volume","mean_volume","time_since_prev_ba","fate_prev_ba","female_helper_prev_ba","male_helper_prev_ba","Clutch_order"
"1","2015-16","AARDVARK","AA006",2,"27/10/2015",0,"4H-48756",1,"27/10/2015",3.88,25.6,105,300,4077.72208584,56,0,0,-0.272727272727273,0.272727272727273,-0.363636363636364,0.363636363636364,1,0,3696,23.7557418545452,4053.96634398545,37,"INCUBATION",0,1,2
"2","2015-16","AARDVARK","AA008",2,"06/05/2016",0,"4H-48756",1,"06/05/2016",3.88,25.6,105,127,4027.96219392,248,1,0,0.727272727272727,0.272727272727273,-0.363636363636364,0.363636363636364,0,0,3696,-26.0041500654547,4053.96634398545,94,"REARING",0,0,NA
"3","2015-16","AARDVARK","AA006",2,"28/10/2015",0,"4H-48756",2,"28/10/2015",3.14,25.6,105,301,3428.4524778,57,0,0,-0.272727272727273,0.272727272727273,-0.363636363636364,0.363636363636364,1,0,3696,-625.513866185454,4053.96634398545,37,"INCUBATION",0,1,2
"4","2015-16","AARDVARK","AA008",2,"07/05/2016",1,"4H-48756",2,"08/05/2016",3.68,25.6,105,128,3873.3552,249,1,0,0.727272727272727,0.272727272727273,-0.363636363636364,0.363636363636364,0,0,3696,-180.611143985454,4053.96634398545,94,"REARING",0,0,NA
"5","2014-15","AARDVARK","AA004",2,"03/01/2015",1,"4H-48756",NA,"04/01/2015",3.85,25.6,105,3,4270.05387288,124,0,1,-0.272727272727273,0.272727272727273,0.636363636363636,0.363636363636364,3,0,3696,216.087528894545,4053.96634398545,52,"REARING",NA,NA,NA
"6","2014-15","AARDVARK","AA004",2,"03/01/2015",1,"4H-48756",NA,"04/01/2015",3.91,25.6,105,3,4303.67634432,124,0,1,-0.272727272727273,0.272727272727273,0.636363636363636,0.363636363636364,3,0,3696,249.710000334546,4053.96634398545,52,"REARING",NA,NA,NA
"7","2015-16","AARDVARK","AA005",2,"21/09/2015",4,"4H-48756",NA,"23/09/2015",4.01,25.6,105,264,4236.43140144,20,0,1,-0.272727272727273,0.272727272727273,0.636363636363636,0.363636363636364,0,0,3696,182.465057454545,4053.96634398545,260,"FIRST_CLUTH",0,1,NA
"8","2015-16","AARDVARK","AA005",2,"21/09/2015",4,"4H-48756",NA,"23/09/2015",4.03,25.6,105,264,4236.43140144,20,0,1,-0.272727272727273,0.272727272727273,0.636363636363636,0.363636363636364,0,0,3696,182.465057454545,4053.96634398545,260,"FIRST_CLUTH",0,1,NA
"9","2015-16","AARDVARK","AA007",2,"02/02/2016",1,"4H-48756",NA,"03/02/2016",3.7,25.6,105,33,4061.66806188,154,0,0,-0.272727272727273,0.272727272727273,-0.363636363636364,0.363636363636364,3,0,3696,7.70171789454525,4053.96634398545,98,"INCUBATION",0,0,3
"10","2015-16","AARDVARK","AA007",2,"02/02/2016",1,"4H-48756",NA,"03/02/2016",3.84,25.6,105,33,4141.6546752,154,0,0,-0.272727272727273,0.272727272727273,-0.363636363636364,0.363636363636364,3,0,3696,87.6883312145455,4053.96634398545,98,"INCUBATION",0,0,3
"11","2013-14","AARDVARK","AA002",1,"23/12/2013",2,"4H-48756",1,"24/12/2013",3.93,25.6,105,357,3936.22206912,113,1,0,0.727272727272727,0.272727272727273,-0.363636363636364,0.363636363636364,0,0,3696,-117.744274865455,4053.96634398545,362,"FIRST_CLUTH",0,0,NA
"12","2012-13","AARDVARK","AA001",2,"26/12/2012",3,"4H-55105",NA,"28/12/2012",3.8,24.9,100.5,361,4141.36423512,117,0,0,0,0,0,0,0,4,5075,0,4141.36423512,NA,NA,NA,NA,NA
"13","2009-10","AYEAYE","AY009",1,"08/10/2009",0,"4H-39163",1,"08/10/2009",2.7,25.2,102,281,2939.6328192,37,1,2,-0.838709677419355,1.83870967741935,0.516129032258065,1.48387096774194,0,0,3235,-247.574768086452,3187.20758728645,226,"FIRST_CLUTH",1,1,NA
"14","2008-9","AYEAYE","AY007",1,"09/12/2008",0,"4H-39163",1,"09/12/2008",2.98,25.2,102,344,3216.72999456,100,0,1,-1.83870967741935,1.83870967741935,-0.483870967741935,1.48387096774194,7,10,3235,29.5224072735491,3187.20758728645,48,"INCUBATION",1,1,3
"15","2008-9","AYEAYE","AY008",2,"24/02/2009",0,"4H-39163",1,"24/02/2009",3.07,25.2,102,55,3202.496676,176,1,1,-0.838709677419355,1.83870967741935,-0.483870967741935,1.48387096774194,0,13,3235,15.2890887135486,3187.20758728645,77,"SUCCESS",0,1,4
"16","2009-10","AYEAYE","AY010",2,"09/01/2010",0,"4H-39163",1,"09/01/2010",2.85,25.2,102,9,3031.64902656,130,2,2,0.161290322580645,1.83870967741935,0.516129032258065,1.48387096774194,2,0,3235,-155.558560726452,3187.20758728645,93,"SUCCESS",1,2,2
"17","2009-10","AYEAYE","AY011",2,"13/03/2010",0,"4H-39163",1,"13/03/2010",3.13,25.2,102,72,3247.15783392,193,2,3,0.161290322580645,1.83870967741935,1.51612903225806,1.48387096774194,0,54.5,3235,59.9502466335484,3187.20758728645,63,"SUCCESS",2,2,3
"18","2011-12","AYEAYE","AY017",2,"25/02/2012",0,"4H-39163",1,"25/02/2012",2.93,25.2,102,56,3123.370125,177,2,1,0.161290322580645,1.83870967741935,-0.483870967741935,1.48387096774194,0,0,3235,-63.8374622864517,3187.20758728645,59,NA,3,1,5
"19","2013-14","AYEAYE","AY022",2,"26/02/2014",0,"4H-39163",1,"26/02/2014",3.1,25.2,102,57,3190.92999264,178,3,2,1.16129032258065,1.83870967741935,0.516129032258065,1.48387096774194,0,0,3235,3.72240535354831,3187.20758728645,62,"SUCCESS",1,2,3
"20","2014-15","AYEAYE","AY025",2,"18/11/2014",0,"4H-39163",1,"18/11/2014",3,25.2,102,322,3228.00097536,78,2,2,0.161290322580645,1.83870967741935,0.516129032258065,1.48387096774194,0,0,3235,40.7933880735486,3187.20758728645,80,"REARING",NA,NA,2
"21","2012-13","AYEAYE","AY019",3,"14/12/2012",0,"4H-39163",1,"14/12/2012",2.99,25.2,102,349,3238.79340456,105,0,0,-1.83870967741935,1.83870967741935,-1.48387096774194,1.48387096774194,0,0,3235,51.5858172735484,3187.20758728645,63,"REARING",1,0,2
"22","2011-12","AYEAYE","AY014",3,"28/12/2011",0,"4H-39163",1,"29/12/2011",3.07,25.2,102,362,3308.17536,118,3,1,1.16129032258065,1.83870967741935,-0.483870967741935,1.48387096774194,2,0,3235,120.967772713548,3187.20758728645,372,NA,4,2,2
"23","2008-9","AYEAYE","AY008",2,"25/02/2009",0,"4H-39163",2,"25/02/2009",3.06,25.2,102,56,3256.82241264,177,1,1,-0.838709677419355,1.83870967741935,-0.483870967741935,1.48387096774194,0,13,3235,69.6148253535489,3187.20758728645,77,"SUCCESS",0,1,4
"24","2009-10","AYEAYE","AY010",2,"10/01/2010",0,"4H-39163",2,"10/01/2010",2.71,25.2,102,10,2890.6065,131,2,2,0.161290322580645,1.83870967741935,0.516129032258065,1.48387096774194,2,0,3235,-296.601087286452,3187.20758728645,93,"SUCCESS",1,2,2
"25","2009-10","AYEAYE","AY011",2,"14/03/2010",0,"4H-39163",2,"14/03/2010",3.23,25.2,102,73,3372.10816176,194,2,3,0.161290322580645,1.83870967741935,1.51612903225806,1.48387096774194,0,22.5,3235,184.900574473548,3187.20758728645,63,"SUCCESS",2,2,3
