"","egg_volume","hatchling_weight","group_ID","mother_ID"
"1",4141.36423512,3.99,"AARDVARK","4H-55105"
"2",3216.72999456,3.75,"AYEAYE","4H-39163"
"3",2939.6328192,2.5,"AYEAYE","4H-39163"
"4",3031.64902656,2.77,"AYEAYE","4H-39163"
"5",2890.6065,3.02,"AYEAYE","4H-39163"
"6",3247.15783392,3.51,"AYEAYE","4H-39163"
"7",3372.10816176,3.48,"AYEAYE","4H-39163"
"8",3067.843545,2.77,"AYEAYE","4H-39163"
"9",3426.32448,3.09,"AYEAYE","4H-39163"
"10",3238.79340456,2.8,"AYEAYE","4H-39163"
"11",3081.72519,2.49,"AYEAYE","4H-39163"
"12",3188.26335744,3.39,"AYEAYE","4H-39163"
"13",3279.7124521875,3.67,"BONGO","4H-39172"
"14",3119.92058556,3.22,"BONGO","4H-39172"
"15",3585.502067175,4.19,"BONGO","4H-39172"
"16",3267.97172352,2.73,"BONGO","4H-39172"
"17",3259.42995024,3,"BONGO","4H-39172"
"18",3131.3300832,3.5,"BONGO","4H-39172"
"19",3979.37824488,3.85,"CHIMP","4H-39192"
"20",4404.40335,3.22,"CHIMP","4H-39192"
"21",3805.0713778275,2.7,"CHIMP","4H-39192"
"22",3706.92864,2.65,"CHIMP","4H-48935"
"23",3530.6260668,2.92,"CHIMP","4H-48935"
"24",3780.77184,3.64,"CHIMP","4H-48935"
"25",3721.13404812,2.94,"CHIMP","4H-48935"
"26",3751.7606658,3.7,"DIKDIK","4H-39162"
"27",3516.21534816,3.41,"DIKDIK","4H-48858"
"28",3276.06822,3.12,"DIKDIK","4H-48858"
"29",3644.56750392,2.76,"DIKDIK","4H-48858"
"30",3662.5439844,3.13,"DIKDIK","4H-48919"
"31",3904.8937542,3.39,"ELAND","4H-48927"
"32",4042.71353376,3.12,"ELAND","4H-48927"
"33",4080.99680586,3.72,"ELAND","4H-48927"
"34",3833.25115824,3.01,"ELAND","4H-48927"
"35",3888.59395032,3.3,"ELAND","4H-48927"
"36",3393.45912024,2.57,"FOSA","4H-39196"
"37",3568.00095972,3.95,"FOSA","4H-39196"
"38",3445.494489,3.58,"FOSA","4H-39196"
"39",3285.64384992,3.12,"FOSA","4H-39196"
"40",3320.93505085875,3.22,"FOSA","4H-39196"
"41",3665.34535752,3.63,"FOSA","4H-39196"
"42",3495.19534056,3.34,"FOSA","4H-39196"
"43",3670.64296704,3.22,"FOSA","4H-39196"
"44",2933.37796752,2.3,"FOSA","4H-39196"
"45",4221.57906,3.61,"GELADA","4H-48772"
"46",3936.0816,4.26,"GELADA","4H-48772"
"47",3485.39904,3.55,"GELADA","4H-48920"
"48",3530.57659416,3.53,"GELADA","4H-48920"
"49",3707.0253612,3.14,"GELADA","4H-48920"
"50",3744.9121465575,4.45,"GELADA","4H-48920"
"51",3551.2459827975,3.46,"GELADA","4H-48920"
"52",4574.13765984,3.2,"HYRAX","4H-39168"
"53",4497.32210832,3.6,"HYRAX","4H-39168"
"54",4607.23725,3.91,"HYRAX","4H-39168"
"55",4658.85163584,3.81,"HYRAX","4H-39168"
"56",3413.86331832,3.06,"HYRAX","4H-55183"
"57",3616.24106664,3.36,"HYRAX","4H-55183"
"58",3188.26335744,2.51,"HYRAX","4H-55183"
"59",2936.90999448,2.6,"HYRAX","4H-55183"
"60",3732.2208,3.47,"HYRAX","4H-55183"
"61",3788.74965456,2.05,"HYRAX","4H-55183"
"62",4238.26232544,3.94,"INDRI","4H-48714"
"63",3917.18184624,4.01,"INDRI","4H-48714"
"64",3530.6260668,2.65,"INDRI","4H-48926"
"65",3530.6260668,2.86,"INDRI","4H-48926"
"66",3662.5439844,3.16,"INDRI","4H-48926"
"67",3840.99199394625,3.63,"INDRI","4H-48926"
"68",3767.54822424,3.51,"INDRI","4H-48926"
"69",3262.35493584,2.37,"INDRI","4H-48926"
"70",3562.1389180125,3.84,"JACKAL","4H-48705"
"71",3933.9860976,4.15,"JACKAL","4H-48721"
"72",4377.45384,4.66,"JACKAL","4H-48721"
"73",4069.23922125,3.54,"JACKAL","4H-48721"
"74",3834.45931428,3.37,"JACKAL","4H-48721"
"75",4038.012,4.4,"JACKAL","4H-48721"
"76",4053.6936,4.1,"JACKAL","4H-48721"
"77",3828.32721,3.36,"JACKAL","4H-48721"
"78",3904.8937542,2.94,"JERBOA","4H-48730"
"79",3700.6628256,2.85,"KUDU","4H-48976"
"80",3668.86664352,3.39,"KUDU","4H-48976"
"81",3998.61426187125,3.01,"LEMUR","4H-39143"
"82",4173.86048947875,3.52,"LEMUR","4H-39143"
"83",4061.66806188,3.6,"LEMUR","4H-39143"
"84",3843.64051884,3.93,"LEMUR","4H-55222"
"85",3828.07108728,3.46,"LEMUR","4H-55222"
"86",3530.6260668,2.84,"LEMUR","4H-55222"
"87",3559.44750408,3.5,"MOLE","4H-39176"
"88",3851.29717326,4.21,"MOLE","4H-39176"
"89",3736.46592,3.96,"MOLE","4H-39176"
"90",3727.53024714,3.87,"MOLE","4H-48710"
"91",3751.7606658,5.1,"MOLE","4H-48710"
"92",3692.16,2.94,"MOLE","4H-48930"
"93",3884.15232,4.2,"MOLE","4H-54972"
"94",3192.18195384,2.7,"MOLE","4H-54984"
"95",3553.70112,3.16,"MOLE","4H-54984"
"96",3190.08375,3.08,"MOLE","4H-54984"
"97",3887.4875004,3.19,"NYALA","4H-48729"
"98",4077.66142983375,4.09,"NYALA","4H-48935"
"99",3856.88305296,3.04,"NYALA","4H-54972"
"100",4035.05687934,3.23,"NYALA","4H-54972"
"101",4085.2932552,4.12,"NYALA","4H-54972"
"102",4222.8635904,3.1,"OKAPI","4H-48765"
"103",3880.71642168,3.93,"OKAPI","4H-48766"
"104",3926.57093420625,4.36,"OKAPI","4H-48766"
"105",4004.43026166,3.36,"OKAPI","4H-48766"
"106",3833.562609045,3.04,"OKAPI","4H-48766"
"107",4399.65200664,1.77,"PORCUPINE","4H-48779"
"108",4448.973375,3.65,"PORCUPINE","4H-48779"
"109",4230.61203096,4.59,"PORCUPINE","4H-48902"
"110",3757.59609984,3.48,"PORCUPINE","4H-48902"
"111",4056.4957896,4.48,"PORCUPINE","4H-48902"
"112",3340.49184,4.63,"PORCUPINE","4H-48902"
"113",4042.71353376,3.24,"PUKU","4H-48921"
"114",3936.0816,2.72,"PUKU","4H-48921"
"115",4247.37270945,4.07,"PUKU","4H-48921"
"116",4013.70675552,4.04,"PUKU","4H-48921"
"117",4199.76771552,3.78,"PUKU","4H-54977"
"118",3841.992,3.25,"PUKU","4H-54977"
"119",4220.70071472,3.2,"QUAGGA","4H-48945"
"120",3426.84342,2.56,"RATEL","4H-39170"
"121",3238.34987466,3.15,"RATEL","4H-39170"
"122",3303.3856752,3.28,"RATEL","4H-39170"
"123",3166.99050096,3.12,"RATEL","4H-39170"
