"","clutches","eggs","rainfall","mother_ID","group_ID","season","female_helpers","male_helpers","cent_female_helpers","cent_male_helpers","mean_female_helpers","mean_male_helpers"
"1",2,4,280.5,"4H-48756","AARDVARK",2014,0,1,-0.123931623931624,0.450320512820513,1.12393162393162,1.54967948717949
"2",3,6,78,"4H-48756","AARDVARK",2015,0,0,0.209401709401709,-0.362179487179487,1.12393162393162,1.54967948717949
"3",3,5,235.5,"4H-39163","AYEAYE",2008,0,0,-1.16018518518519,-1.11342592592593,2.49351851851852,2.11342592592593
"4",3,5,469.5,"4H-39163","AYEAYE",2009,1,2,-0.493518518518519,0.511574074074074,2.49351851851852,2.11342592592593
"5",1,2,543.75,"4H-39163","AYEAYE",2010,4,2,2.13148148148148,0.657407407407407,2.49351851851852,2.11342592592593
"6",2,5,297,"4H-39163","AYEAYE",2011,3,1,1.08981481481481,-0.113425925925926,2.49351851851852,2.11342592592593
"7",2,5,238.5,"4H-39163","AYEAYE",2012,1,0,-0.743518518518519,-1.11342592592593,2.49351851851852,2.11342592592593
"8",4,8,415.5,"4H-39163","AYEAYE",2013,1,1,-0.493518518518519,-0.488425925925926,2.49351851851852,2.11342592592593
"9",2,4,280.5,"4H-39163","AYEAYE",2014,2,2,0.756481481481481,0.886574074074074,2.49351851851852,2.11342592592593
"10",4,8,469.5,"4H-39172","BONGO",2009,2,3,0.734375,1.55208333333333,2.41145833333333,2.11458333333333
"11",4,9,543.75,"4H-39172","BONGO",2010,3,1,1.52604166666667,0.28125,2.41145833333333,2.11458333333333
"12",1,2,297,"4H-39172","BONGO",2011,3,0,1.58854166666667,-0.96875,2.41145833333333,2.11458333333333
"13",1,2,238.5,"4H-39172","BONGO",2012,1,1,-0.203125,-0.197916666666667,2.41145833333333,2.11458333333333
"14",4,10,415.5,"4H-39172","BONGO",2013,0,0,-1.41145833333333,-0.635416666666667,2.41145833333333,2.11458333333333
